,review,review_lower,review_nopunc,review_nostop,no_other,cleaned_review,polarity,subjectivity
21,"Many different flavors to choose from. Great wing size makes it a good value. The meal with the potatoes was good, but the ""side of Cole slaw"" was literally a spoonful. They gave extra hot sauce on the side. Will definitely come back soon.","many different flavors to choose from. great wing size makes it a good value. the meal with the potatoes was good, but the ""side of cole slaw"" was literally a spoonful. they gave extra hot sauce on the side. will definitely come back soon.",many different flavors to choose from great wing size makes it a good value the meal with the potatoes was good but the side of cole slaw was literally a spoonful they gave extra hot sauce on the side will definitely come back soon,many different flavors choose great wing size makes good value meal potatoes good side cole slaw literally spoonful gave extra hot sauce side definitely come back soon,many different flavors to choose from great wing size makes it good value meal with potatoes was good but side of cole slaw was spoonful gave extra hot sauce on side will definitely come back soon,many different flavor to choose from great wing size make it good value meal with potato wa good but side of cole slaw wa spoonful gave extra hot sauce on side will definitely come back soon,0.327777778,0.5
22,"Wow! Wow! Wow! I just left here an hour ago and have to say that I am very surprised and happy! It takes a number of great ideas to have a great restaurant. This place has all of them. Clean oil, great products, great technique, and a great attitude! This restaurant has all of these. The place is very clean, the food is well seasoned, cooked perfectly and the staff is very pleasant. This is my first time here and I am looking forward to returning soon!","wow! wow! wow! i just left here an hour ago and have to say that i am very surprised and happy! it takes a number of great ideas to have a great restaurant. this place has all of them. clean oil, great products, great technique, and a great attitude! this restaurant has all of these. the place is very clean, the food is well seasoned, cooked perfectly and the staff is very pleasant. this is my first time here and i am looking forward to returning soon!",wow wow wow i just left here an hour ago and have to say that i am very surprised and happy it takes a number of great ideas to have a great restaurant this place has all of them clean oil great products great technique and a great attitude this restaurant has all of these the place is very clean the food is well seasoned cooked perfectly and the staff is very pleasant this is my first time here and i am looking forward to returning soon,wow wow wow left hour ago say surprised happy takes number great ideas great restaurant place clean oil great products great technique great attitude restaurant place clean food well seasoned cooked perfectly staff pleasant first time looking forward returning soon,wow wow wow just left here an hour ago have to that am very surprised happy it takes number of great ideas to have great restaurant this place has all of them clean oil great products great technique great attitude this restaurant has all of these place is very clean food is well seasoned cooked perfectly staff is very pleasant this is first time here am looking forward to returning soon,wow wow wow just left here an hour ago have to that am very surprised happy it take number of great idea to have great restaurant this place ha all of them clean oil great product great technique great attitude this restaurant ha all of these place is very clean food is well seasoned cooked perfectly staff is very pleasant this is first time here am looking forward to returning soon,0.501568627,0.761372549
23,"First, they called me after my order was delivered and tried to tell me they made a mistake on the printed price on the menu for jumbo shrimp. And wanted to charge an extra $5.99! Hell No!!! Their mistake, not my problem. Bland, bland, bland!!! Wings, jumbo shrimp (where? That is breading!), potatoe wedges no salt, coleslaw was the size if the sauce containers. The only thing with some kind of taste. First and last time, waste of $40.00. Don't believe the hype! Not worth it!!!","first, they called me after my order was delivered and tried to tell me they made a mistake on the printed price on the menu for jumbo shrimp. and wanted to charge an extra $5.99! hell no!!! their mistake, not my problem. bland, bland, bland!!! wings, jumbo shrimp (where? that is breading!), potatoe wedges no salt, coleslaw was the size if the sauce containers. the only thing with some kind of taste. first and last time, waste of $40.00. don't believe the hype! not worth it!!!",first they called me after my order was delivered and tried to tell me they made a mistake on the printed price on the menu for jumbo shrimp and wanted to charge an extra 599 hell no their mistake not my problem bland bland bland wings jumbo shrimp where that is breading potatoe wedges no salt coleslaw was the size if the sauce containers the only thing with some kind of taste first and last time waste of 4000 dont believe the hype not worth it,first called order delivered tried tell made mistake printed price menu jumbo shrimp wanted charge extra 599 hell mistake problem bland bland bland wings jumbo shrimp breading potatoe wedges salt coleslaw size sauce containers thing kind taste first last time waste 4000 dont believe hype worth,first called after order was delivered tried to tell made mistake on printed price on menu for jumbo shrimp wanted to charge an extra 599 hell no their mistake not problem bland bland bland wings jumbo shrimp where that is breading potatoe wedges no salt coleslaw was size if sauce containers only with some kind of taste first last time waste of 4000 dont believe hype not worth it,first called after order wa delivered tried to tell made mistake on printed price on menu for jumbo shrimp wanted to charge an extra 599 hell no their mistake not problem bland bland bland wing jumbo shrimp where that is breading potatoe wedge no salt coleslaw wa size if sauce container only with some kind of taste first last time waste of 4000 dont believe hype not worth it,0.022727273,0.484848485
24,"i was skeptical at first because of the location being so random, but after checking reviews and seeing it being rated so highly, me & my boyfriend thought it'd be a good spot to try catfish. we got the dinner combo with catfish filets and bbq wings. the catfish was delicious and the wings were even better! the potato wedges and bread that it came with were also really good. the food was so good, i'll definitely be back! (i wanted to include pictures but devoured my food before i could snap a pic)","i was skeptical at first because of the location being so random, but after checking reviews and seeing it being rated so highly, me & my boyfriend thought it'd be a good spot to try catfish. we got the dinner combo with catfish filets and bbq wings. the catfish was delicious and the wings were even better! the potato wedges and bread that it came with were also really good. the food was so good, i'll definitely be back! (i wanted to include pictures but devoured my food before i could snap a pic)",i was skeptical at first because of the location being so random but after checking reviews and seeing it being rated so highly me  my boyfriend thought itd be a good spot to try catfish we got the dinner combo with catfish filets and bbq wings the catfish was delicious and the wings were even better the potato wedges and bread that it came with were also really good the food was so good ill definitely be back i wanted to include pictures but devoured my food before i could snap a pic,skeptical first location random checking reviews seeing rated highly boyfriend thought itd good spot try catfish got dinner combo catfish filets bbq wings catfish delicious wings even better potato wedges bread came also really good food good ill definitely back wanted include pictures devoured food could snap pic,was skeptical at first because of location being so random but after checking reviews seeing it being rated so highly boyfriend thought itd be good spot to try catfish we dinner combo with catfish filets bbq wings catfish was delicious wings were even better potato wedges bread that it came with were also really good food was so good ill definitely be back wanted to include pictures but devoured food before snap pic,wa skeptical at first because of location being so random but after checking review seeing it being rated so highly boyfriend thought itd be good spot to try catfish we dinner combo with catfish filet bbq wing catfish wa delicious wing were even better potato wedge bread that it came with were also really good food wa so good ill definitely be back wanted to include picture but devoured food before snap pic,0.228181818,0.561212121
25,"Hate to admit I ordered delivery more than once last week from this place!!! Everyine's food was hot/fresh, PERFECTLY COOKED, & SEASONED.  Definitely keeping in mind for upcoming family events. The husband also approved","hate to admit i ordered delivery more than once last week from this place!!! everyine's food was hot/fresh, perfectly cooked, & seasoned. definitely keeping in mind for upcoming family events. the husband also approved",hate to admit i ordered delivery more than once last week from this place everyines food was hotfresh perfectly cooked  seasoned definitely keeping in mind for upcoming family events the husband also approved,hate admit ordered delivery last week place everyines food hotfresh perfectly cooked seasoned definitely keeping mind upcoming family events husband also approved,hate to admit ordered delivery more than once last week from this place everyines food was hotfresh perfectly cooked seasoned definitely keeping in mind for upcoming family events husband also approved,hate to admit ordered delivery more than once last week from this place everyines food wa hotfresh perfectly cooked seasoned definitely keeping in mind for upcoming family event husband also approved,0.158333333,0.536111111
26,"Best customer service I ever had, the staff is very we mannered and they have the freshest food. The prices you can not beat and get a lot of food for such a low price. This is my favorite spot to eat at and I showed many friends this place and they love and always ask if u want to go here. Overall this place has the best service and food around","best customer service i ever had, the staff is very we mannered and they have the freshest food. the prices you can not beat and get a lot of food for such a low price. this is my favorite spot to eat at and i showed many friends this place and they love and always ask if u want to go here. overall this place has the best service and food around",best customer service i ever had the staff is very we mannered and they have the freshest food the prices you can not beat and get a lot of food for such a low price this is my favorite spot to eat at and i showed many friends this place and they love and always ask if u want to go here overall this place has the best service and food around,best customer service ever staff mannered freshest food prices beat get lot food low price favorite spot eat showed many friends place love always ask u want go overall place best service food around,best customer service ever had staff is very we mannered have freshest food prices you can not beat get lot of food for such low price this is favorite spot to eat at showed many friends this place love always ask if want to here overall this place has best service food around,best customer service ever had staff is very we mannered have freshest food price you can not beat get lot of food for such low price this is favorite spot to eat at showed many friend this place love always ask if want to here overall this place ha best service food around,0.411111111,0.422222222
27,Great service and top notch wings! Love having this place nearby to grab some great food.,great service and top notch wings! love having this place nearby to grab some great food.,great service and top notch wings love having this place nearby to grab some great food,great service top notch wings love place nearby grab great food,great service top notch wings love having this place nearby to grab some great food,great service top notch wing love having this place nearby to grab some great food,0.65,0.65
28,"Food was Delicious, But what happened to the Cole slaw?  It was literally just a taste need to improv amount","food was delicious, but what happened to the cole slaw? it was literally just a taste need to improv amount",food was delicious but what happened to the cole slaw it was literally just a taste need to improv amount,food delicious happened cole slaw literally taste need improv amount,food was delicious but what happened to cole slaw it was just taste need to improv amount,food wa delicious but what happened to cole slaw it wa just taste need to improv amount,1,1
29,"Bruh, they got ginger fucking wings. Lemon pepper wings legit AFI gives it F I E Stars!!!","bruh, they got ginger fucking wings. lemon pepper wings legit afi gives it f i e stars!!!",bruh they got ginger fucking wings lemon pepper wings legit afi gives it f i e stars,bruh got ginger fucking wings lemon pepper wings legit afi gives f e stars,bruh ginger fucking wings lemon pepper wings legit afi gives it f e stars,bruh ginger fucking wing lemon pepper wing legit afi give it f e star,-0.6,0.8
30,Great catfish and the owner is a great guy. Garlic seasoning and sauce excellent! Will go back.,great catfish and the owner is a great guy. garlic seasoning and sauce excellent! will go back.,great catfish and the owner is a great guy garlic seasoning and sauce excellent will go back,great catfish owner great guy garlic seasoning sauce excellent go back,great catfish owner is great guy garlic seasoning sauce excellent will back,great catfish owner is great guy garlic seasoning sauce excellent will back,0.65,0.625
31,"Love love love this place. I don't live close but I make the trek here, it's worth it. The wings r always hot and fresh. I usually get the buffalo and lemon pepper. Delicious. Plus they're nice guys that work here that say ""thank you"", ""hello, how can I help you or what would you like?"". U don't get that often and when u do, u get repeat customers that will go the distance. Give em a try, they're really good. So are the shrimp and fish.","love love love this place. i don't live close but i make the trek here, it's worth it. the wings r always hot and fresh. i usually get the buffalo and lemon pepper. delicious. plus they're nice guys that work here that say ""thank you"", ""hello, how can i help you or what would you like?"". u don't get that often and when u do, u get repeat customers that will go the distance. give em a try, they're really good. so are the shrimp and fish.",love love love this place i dont live close but i make the trek here its worth it the wings r always hot and fresh i usually get the buffalo and lemon pepper delicious plus theyre nice guys that work here that say thank you hello how can i help you or what would you like u dont get that often and when u do u get repeat customers that will go the distance give em a try theyre really good so are the shrimp and fish,love love love place dont live close make trek worth wings r always hot fresh usually get buffalo lemon pepper delicious plus theyre nice guys work say thank hello help would like u dont get often u u get repeat customers go distance give em try theyre really good shrimp fish,love love love this place dont live close but make trek here its worth it wings r always hot fresh usually get buffalo lemon pepper delicious plus theyre nice guys that work here that thank you hello how can help you or what would you like dont get that often when do get repeat customers that will distance give em try theyre really good so are shrimp fish,love love love this place dont live close but make trek here it worth it wing r always hot fresh usually get buffalo lemon pepper delicious plus theyre nice guy that work here that thank you hello how can help you or what would you like dont get that often when do get repeat customer that will distance give em try theyre really good so are shrimp fish,0.412396694,0.6
32,This place has great wings for great prices! The garlic and lemon pepper ones are so good and crunchy! I would also recommend the chicken tenders,this place has great wings for great prices! the garlic and lemon pepper ones are so good and crunchy! i would also recommend the chicken tenders,this place has great wings for great prices the garlic and lemon pepper ones are so good and crunchy i would also recommend the chicken tenders,place great wings great prices garlic lemon pepper ones good crunchy would also recommend chicken tenders,this place has great wings for great prices garlic lemon pepper ones are so good crunchy would also recommend chicken tenders,this place ha great wing for great price garlic lemon pepper one are so good crunchy would also recommend chicken tender,0.425,0.7625
33,I love this place they are so nice & friendly the food is amazing I love there wingz. My family loves this place my neighbor loves there catfish they shrimp is amazing as well. I recommend this place to everyone I have even done there catering as well and my guest loved there food.,i love this place they are so nice & friendly the food is amazing i love there wingz. my family loves this place my neighbor loves there catfish they shrimp is amazing as well. i recommend this place to everyone i have even done there catering as well and my guest loved there food.,i love this place they are so nice  friendly the food is amazing i love there wingz my family loves this place my neighbor loves there catfish they shrimp is amazing as well i recommend this place to everyone i have even done there catering as well and my guest loved there food,love place nice friendly food amazing love wingz family loves place neighbor loves catfish shrimp amazing well recommend place everyone even done catering well guest loved food,love this place are so nice friendly food is amazing love there wingz family loves this place neighbor loves there catfish shrimp is amazing as well recommend this place to everyone have even done there catering as well guest loved there food,love this place are so nice friendly food is amazing love there wingz family love this place neighbor love there catfish shrimp is amazing a well recommend this place to everyone have even done there catering a well guest loved there food,0.541666667,0.722222222
34,Some of the best hot wings I have ever had and for an amazing price too. Would recommend to anyone who is ever in the area to try these wings,some of the best hot wings i have ever had and for an amazing price too. would recommend to anyone who is ever in the area to try these wings,some of the best hot wings i have ever had and for an amazing price too would recommend to anyone who is ever in the area to try these wings,best hot wings ever amazing price would recommend anyone ever area try wings,some of best hot wings have ever had for an amazing price too would recommend to anyone who is ever in area to try these wings,some of best hot wing have ever had for an amazing price too would recommend to anyone who is ever in area to try these wing,0.616666667,0.683333333
35,"First time here, cashier was very nice, the wings were very good & fresh. The place is a hit, customers were flowing in and out with orders as I was waiting for mine.","first time here, cashier was very nice, the wings were very good & fresh. the place is a hit, customers were flowing in and out with orders as i was waiting for mine.",first time here cashier was very nice the wings were very good  fresh the place is a hit customers were flowing in and out with orders as i was waiting for mine,first time cashier nice wings good fresh place hit customers flowing orders waiting mine,first time here cashier was very nice wings were very good fresh place is hit customers were flowing in out with orders as was waiting for mine,first time here cashier wa very nice wing were very good fresh place is hit customer were flowing in out with order a wa waiting for mine,0.56,0.653333333
36,"Ordered wings, cole slaw and potato wedges.  The food was delicious!  They delivered it to the comedy club two doors down.  The wings and fries were hot and the cole slaw was sweet.  I would definitely recommend this restaurant!","ordered wings, cole slaw and potato wedges. the food was delicious! they delivered it to the comedy club two doors down. the wings and fries were hot and the cole slaw was sweet. i would definitely recommend this restaurant!",ordered wings cole slaw and potato wedges the food was delicious they delivered it to the comedy club two doors down the wings and fries were hot and the cole slaw was sweet i would definitely recommend this restaurant,ordered wings cole slaw potato wedges food delicious delivered comedy club two doors wings fries hot cole slaw sweet would definitely recommend restaurant,ordered wings cole slaw potato wedges food was delicious delivered it to comedy club doors down wings fries were hot cole slaw was sweet would definitely recommend this restaurant,ordered wing cole slaw potato wedge food wa delicious delivered it to comedy club door down wing fry were hot cole slaw wa sweet would definitely recommend this restaurant,0.288888889,0.657777778
